FirstName,LastName,TransactionDate,Product,Price,Region,Segment
Sophia,Davis,2021-01-15,,786.32,Ohio,Price-Sensitive
Michael,Wilson,2021-01-15,Smartwatch,406.73,Georgia,Frequent Buyer
John,Wilson,2021-01-15,,,New York,Price-Sensitive
James,Miller,2021-01-15,Laptop,1336.74,Illinois,Frequent Buyer
Michael,Smith,2021-01-15,Smartphone,677.34,Illinois,Occasional Buyer
Daniel,Garcia,2021-01-16,Tablet,618.04,Texas,Premium Buyer
Emily,Smith,2021-01-16,Laptop,1947.81,Michigan,Occasional Buyer
David,Brown,2021-01-16,Smartphone,879.11,Georgia,Occasional Buyer
Olivia,Martinez,2021-01-16,Smartphone,843.07,New York,Frequent Buyer
David,Williams,2021-01-17,Laptop,1038.02,California,Price-Sensitive
Daniel,Williams,2021-01-17,Smartwatch,690.68,Texas,Premium Buyer
James,Smith,2021-01-17,Laptop,1523.62,Michigan,Occasional Buyer
Michael,Davis,2021-01-18,Smartphone,1480.91,Georgia,Premium Buyer
David,Williams,2021-01-18,Smartwatch,254.12,California,Price-Sensitive
Emily,Johnson,2021-01-18,Headphones,58.3,Michigan,Occasional Buyer
James,Smith,2021-01-18,Laptop,882.71,Michigan,Occasional Buyer
Sophia,Jones,2021-01-18,Smartwatch,440.42,California,Frequent Buyer
Emily,Martinez,2021-01-19,Smartphone,670.69,New York,Price-Sensitive
John,Johnson,2021-01-19,Smartwatch,287.91,California,Price-Sensitive
Sarah,Williams,2021-01-19,Smartwatch,464.16,New York,Occasional Buyer
Sarah,Garcia,2021-01-20,Tablet,442.01,Ohio,Occasional Buyer
Emily,Brown,2021-01-20,Headphones,177.31,Illinois,Frequent Buyer
Olivia,Jones,2021-01-20,Headphones,370.21,Michigan,Premium Buyer
James,Johnson,2021-01-20,Smartwatch,347.93,Florida,Frequent Buyer
Emily,Johnson,2021-01-21,Headphones,147.49,Michigan,Occasional Buyer
Sophia,Williams,2021-01-21,Smartphone,587.46,New York,Frequent Buyer
Daniel,Williams,2021-01-21,Tablet,492.21,Michigan,Price-Sensitive
David,Miller,2021-01-22,Smartwatch,536.82,Michigan,Occasional Buyer
Sarah,Garcia,2021-01-22,Smartphone,981.46,Michigan,Price-Sensitive
Sarah,Jones,2021-01-22,Laptop,1885.38,Texas,Frequent Buyer
Olivia,Martinez,2021-01-23,Headphones,321.41,Illinois,Frequent Buyer
Michael,Wilson,2021-01-23,Headphones,149.37,Georgia,Frequent Buyer
Sophia,Wilson,2021-01-23,Smartwatch,608.07,California,Occasional Buyer
Emily,Brown,2021-01-23,,,Illinois,Frequent Buyer
John,Johnson,2021-01-23,Tablet,738.29,Illinois,Price-Sensitive
Michael,Williams,2021-01-23,Headphones,66.06,Ohio,Frequent Buyer
Emily,Smith,2021-01-24,Smartwatch,325.54,Michigan,Occasional Buyer
Olivia,Martinez,2021-01-24,Headphones,97.12,Illinois,Frequent Buyer
Emily,Smith,2021-01-24,Tablet,543.99,Illinois,Price-Sensitive
James,Johnson,2021-01-24,Smartwatch,441.97,Florida,Frequent Buyer
Sophia,Wilson,2021-01-24,Smartphone,643.55,California,Occasional Buyer
Sophia,Miller,2021-01-24,Tablet,826.13,Florida,Premium Buyer
Michael,Garcia,2021-01-24,Tablet,546.18,California,Occasional Buyer
John,Martinez,2021-01-24,Smartphone,875.1,Florida,Price-Sensitive
Daniel,Williams,2021-01-25,Tablet,1279.39,Texas,Premium Buyer
Emily,Williams,2021-01-25,Smartphone,495.22,Florida,Price-Sensitive
Sophia,Miller,2021-01-25,Smartwatch,355.11,Florida,Premium Buyer
James,Jones,2021-01-25,Tablet,,,Price-Sensitive
Daniel,Smith,2021-01-25,Laptop,988.75,New York,Frequent Buyer
Sarah,Williams,2021-01-25,Laptop,1590.63,New York,Occasional Buyer
Emily,Williams,2021-01-25,Tablet,465.47,Florida,Frequent Buyer
John,Miller,2021-01-25,Smartphone,618.37,Florida,Price-Sensitive
Daniel,Williams,2021-01-26,Tablet,616.2,Illinois,Price-Sensitive
Olivia,Miller,2021-01-26,Headphones,217.94,New York,Frequent Buyer
Sarah,Garcia,2021-01-26,Smartwatch,363.34,,
David,Martinez,2021-01-26,Smartwatch,345.72,Florida,Occasional Buyer
John,Wilson,2021-01-26,Smartwatch,241.07,New York,Price-Sensitive
John,Johnson,2021-01-26,Headphones,209.71,Michigan,Occasional Buyer
Sophia,Davis,2021-01-26,Tablet,423.61,Ohio,
Sarah,Williams,2021-01-27,Tablet,618.76,New York,Occasional Buyer
Emily,Williams,2021-01-27,Smartphone,431.84,Florida,Price-Sensitive
Emily,Smith,2021-01-27,Smartwatch,371.44,Ohio,Frequent Buyer
John,Johnson,2021-01-27,Smartwatch,404.34,Texas,Price-Sensitive
Daniel,Smith,2021-01-28,Laptop,1243.51,New York,Frequent Buyer
Olivia,Wilson,2021-01-28,Smartphone,,,Premium Buyer
Sophia,Davis,2021-01-28,Headphones,90.09,California,Frequent Buyer
John,Miller,2021-01-28,Laptop,1647.74,Florida,Price-Sensitive
Emily,Wilson,2021-01-28,Tablet,301.79,Texas,Price-Sensitive
Emily,Garcia,2021-01-28,Headphones,,,Frequent Buyer
David,Brown,2021-01-28,Tablet,580.31,Georgia,Occasional Buyer
David,Williams,2021-02-01,Tablet,581.1,California,Price-Sensitive
Emily,Davis,2021-02-01,Smartphone,723.37,New York,Occasional Buyer
Sophia,Jones,2021-02-02,Smartwatch,376.57,California,Frequent Buyer
Michael,Davis,2021-02-02,Smartphone,508.54,Ohio,Occasional Buyer
Sarah,Jones,2021-02-02,Headphones,235.47,New York,Price-Sensitive
Sophia,Jones,2021-02-02,Laptop,1794.67,California,Frequent Buyer
James,Jones,2021-02-02,Headphones,237.84,Florida,Occasional Buyer
James,Garcia,2021-02-02,Smartphone,956.6,Texas,Occasional Buyer
James,Garcia,2021-02-02,Laptop,613.31,Texas,Occasional Buyer
Emily,Brown,2021-02-02,Headphones,230.15,Illinois,Frequent Buyer
Sarah,Jones,2021-02-02,Smartphone,739.45,New York,Price-Sensitive
David,Martinez,2021-02-02,Headphones,83.14,Florida,Occasional Buyer
Emily,Williams,2021-02-02,Tablet,366.87,,
Daniel,Martinez,2021-02-02,Tablet,241.31,Michigan,Price-Sensitive
Michael,Davis,2021-02-03,Headphones,341.29,Georgia,Premium Buyer
Emma,Martinez,2021-02-03,Tablet,670.06,Illinois,Frequent Buyer
Emma,Johnson,2021-02-03,Smartwatch,201.72,Illinois,Premium Buyer
Michael,Williams,2021-02-03,Laptop,1161.9,Ohio,Frequent Buyer
Sarah,Jones,2021-02-03,Smartphone,703.1,Texas,Frequent Buyer
John,Wilson,2021-02-03,Smartphone,569.42,New York,Price-Sensitive
Olivia,Miller,2021-02-04,Laptop,2181.55,New York,Frequent Buyer
Sarah,Jones,2021-02-04,Headphones,148.62,New York,Price-Sensitive
Sarah,Williams,2021-02-04,Smartphone,512.58,California,Price-Sensitive
Olivia,Martinez,2021-02-04,Laptop,1737.55,,Frequent Buyer
Emma,Martinez,2021-02-04,Smartphone,1290.21,,
John,Brown,2021-02-04,Tablet,554.79,Ohio,Premium Buyer
Daniel,Williams,2021-02-04,Headphones,383.39,Texas,Premium Buyer
John,Martinez,2021-02-04,Smartwatch,,California,Occasional Buyer
John,Miller,2021-02-04,Headphones,70.77,Florida,Price-Sensitive
John,Martinez,2021-02-04,Tablet,759.81,California,Occasional Buyer
Olivia,Martinez,2021-02-04,Smartwatch,510.92,New York,Frequent Buyer
Sarah,Jones,2021-02-05,Headphones,159.56,New York,Price-Sensitive
John,Johnson,2021-02-05,Smartwatch,115.16,Texas,Price-Sensitive
Sarah,Jones,2021-02-05,Smartphone,663.05,Texas,Frequent Buyer
Michael,Davis,2021-02-05,Tablet,545.37,Ohio,Occasional Buyer
John,Smith,2021-02-05,Laptop,461.04,Georgia,Price-Sensitive
Sarah,Brown,2021-02-05,Smartphone,1178.65,New York,Frequent Buyer
Emma,Johnson,2021-02-05,Smartwatch,198.08,Florida,Occasional Buyer
David,Williams,2021-02-06,Tablet,272.74,Ohio,Price-Sensitive
John,Martinez,2021-02-06,Headphones,40.81,Florida,Price-Sensitive
Olivia,Jones,2021-02-06,Tablet,1011.99,Michigan,Premium Buyer
Emily,Johnson,2021-02-06,Smartwatch,167.97,Michigan,Occasional Buyer
Emily,Williams,2021-02-06,Smartwatch,562.04,Florida,Frequent Buyer
Daniel,Smith,2021-02-06,Smartwatch,175.12,New York,Price-Sensitive
Sarah,Brown,2021-02-06,Smartphone,1101.56,Texas,Premium Buyer
John,Miller,2021-02-07,Smartwatch,278.79,Florida,Price-Sensitive
Sophia,Davis,2021-02-07,Tablet,452.32,Ohio,Price-Sensitive
Emma,Johnson,2021-02-07,Headphones,41.82,Florida,Occasional Buyer
Olivia,Miller,2021-02-07,Tablet,820.27,New York,Frequent Buyer
Emma,Garcia,2021-02-07,Smartphone,638.66,Georgia,Frequent Buyer
James,Davis,2021-02-07,Tablet,932.73,Georgia,Frequent Buyer
Emily,Miller,2021-02-07,Smartphone,529.47,Michigan,Price-Sensitive
Sarah,Brown,2021-02-07,Smartphone,1063.23,Texas,Premium Buyer
Sarah,Brown,2021-02-08,Laptop,2176.3,New York,Frequent Buyer
John,Smith,2021-02-08,Laptop,749.16,Georgia,Price-Sensitive
Sophia,Davis,2021-02-08,Tablet,773.54,California,Frequent Buyer
David,Martinez,2021-02-08,Smartwatch,548.57,Florida,Occasional Buyer
Emily,Davis,2021-02-08,Smartwatch,166.65,New York,Occasional Buyer
Sophia,Davis,2021-02-08,Smartphone,519.93,Ohio,Price-Sensitive
David,Martinez,2021-02-08,Tablet,598.37,Florida,Occasional Buyer
David,Williams,2021-02-08,Headphones,180.48,California,Price-Sensitive
Emily,Garcia,2021-02-09,Headphones,234.09,New York,Frequent Buyer
Sarah,Jones,2021-02-09,Laptop,925.12,New York,Price-Sensitive
Emma,Martinez,2021-02-09,Tablet,987.58,Illinois,Frequent Buyer
Daniel,Smith,2021-02-09,,117.92,New York,
Michael,Wilson,2021-02-09,Tablet,590.96,California,Occasional Buyer
John,Martinez,2021-02-09,Laptop,807.39,California,Occasional Buyer
James,Davis,2021-02-10,Laptop,1064.31,Georgia,Frequent Buyer
Sarah,Williams,2021-02-10,Smartphone,888.28,New York,Occasional Buyer
Sophia,Williams,2021-02-10,Tablet,757.77,New York,Frequent Buyer
Emily,Garcia,2021-02-10,Laptop,1219.25,New York,Frequent Buyer
Daniel,Brown,2021-02-10,Tablet,672.28,New York,Occasional Buyer
James,Johnson,2021-02-10,Smartphone,663.2,Florida,Frequent Buyer
Emma,Garcia,2021-02-10,Smartphone,975.25,Georgia,Frequent Buyer
Sophia,Wilson,2021-02-10,Tablet,414.09,Texas,Premium Buyer
John,Miller,2021-02-11,Smartphone,865.87,Florida,Price-Sensitive
Sophia,Wilson,2021-02-11,Laptop,1569.94,California,Occasional Buyer
Sarah,Jones,2021-02-11,Tablet,499.13,Texas,Frequent Buyer
Sophia,Davis,2021-02-11,Tablet,432.33,California,Frequent Buyer
Sophia,Wilson,2021-02-11,Tablet,352.55,California,Occasional Buyer
Sophia,Jones,2021-02-11,Smartwatch,269.84,,Frequent Buyer
Olivia,Martinez,2021-02-11,Smartphone,1037.99,Illinois,Frequent Buyer
John,Smith,2021-02-11,Laptop,1748.42,Ohio,Price-Sensitive
Sarah,Williams,2021-02-12,Smartwatch,521.85,New York,Occasional Buyer
Olivia,Martinez,2021-02-12,Laptop,970.44,New York,Frequent Buyer
Emily,Smith,2021-02-12,Headphones,90.02,Illinois,Price-Sensitive
Sophia,Davis,2021-02-12,Laptop,954.52,Ohio,Price-Sensitive
Sarah,Jones,2021-02-12,Smartwatch,341.24,New York,Price-Sensitive
Daniel,Smith,2021-02-13,Tablet,751.15,New York,Price-Sensitive
James,Garcia,2021-02-13,Smartwatch,304.43,Texas,Occasional Buyer
Sarah,Brown,2021-02-13,Tablet,645.23,Texas,Premium Buyer
John,Johnson,2021-02-13,Laptop,973.07,Illinois,Price-Sensitive
Michael,Williams,2021-02-13,Smartwatch,414.26,Illinois,Premium Buyer
John,Wilson,2021-02-13,Smartwatch,260.16,New York,Price-Sensitive
John,Wilson,2021-02-13,Headphones,104.19,New York,Price-Sensitive
James,Johnson,2021-02-13,Smartwatch,564.02,Florida,Frequent Buyer
John,Johnson,2021-02-13,Laptop,653.77,,Price-Sensitive
Emma,Garcia,2021-02-14,Smartwatch,280.7,Georgia,Frequent Buyer
Daniel,Williams,2021-02-14,Laptop,1760.65,Illinois,Premium Buyer
Emily,Garcia,2021-02-14,Headphones,269.69,New York,Frequent Buyer
Emily,Williams,2021-02-14,Laptop,1533.32,Florida,Price-Sensitive
Emily,Brown,2021-02-14,Laptop,1666.12,Illinois,Frequent Buyer
Olivia,Martinez,2021-02-15,Smartphone,775.16,New York,Frequent Buyer
David,Martinez,2021-02-15,Tablet,391.59,Florida,Occasional Buyer
Emily,Brown,2021-02-15,Headphones,250.52,Illinois,Frequent Buyer
Olivia,Wilson,2021-02-15,Smartwatch,385.67,New York,Premium Buyer
Emily,Martinez,2021-02-15,Tablet,519.46,New York,Price-Sensitive
John,Williams,2021-02-15,Smartwatch,512.88,California,Occasional Buyer
John,Wilson,2021-02-16,Tablet,570.51,New York,Price-Sensitive
James,Miller,2021-02-16,Smartwatch,498.33,Illinois,Frequent Buyer
Daniel,Martinez,2021-02-16,,370.32,Michigan,Price-Sensitive
Olivia,Martinez,2021-02-16,Smartwatch,416.96,Illinois,Frequent Buyer
Olivia,Wilson,2021-02-16,,727.93,New York,
Michael,Smith,2021-02-16,Smartphone,473.04,Illinois,Occasional Buyer
Sarah,Williams,2021-02-16,Laptop,585.18,California,Price-Sensitive
Emily,Wilson,2021-02-16,Smartwatch,205.49,Texas,Price-Sensitive
John,Miller,2021-02-16,Tablet,466.91,Florida,Price-Sensitive
Olivia,Miller,2021-02-17,Laptop,1753.03,New York,Frequent Buyer
John,Johnson,2021-02-17,Tablet,529.5,Illinois,Price-Sensitive
John,Miller,2021-02-17,Tablet,386.07,Florida,Price-Sensitive
Sophia,Wilson,2021-02-17,Tablet,899.33,Texas,Premium Buyer
Emma,Johnson,2021-02-17,Tablet,609.21,Illinois,Premium Buyer
David,Williams,2021-02-17,Tablet,432.05,Ohio,Price-Sensitive
Michael,Wilson,2021-02-17,Smartwatch,471.65,Georgia,Frequent Buyer
Daniel,Garcia,2021-02-18,Headphones,233.44,Texas,Premium Buyer
Emma,Johnson,2021-02-18,Smartwatch,735.56,Illinois,Premium Buyer
John,Martinez,2021-02-18,,319.49,California,
Sophia,Davis,2021-02-18,Smartwatch,,,Frequent Buyer
Michael,Davis,2021-02-18,Tablet,639.31,Ohio,Occasional Buyer
Sophia,Davis,2021-02-18,Smartphone,1195.98,California,Frequent Buyer
Sarah,Brown,2021-02-19,Smartwatch,379.01,Texas,Premium Buyer
John,Johnson,2021-02-19,Smartwatch,538.1,Michigan,Occasional Buyer
Sophia,Davis,2021-02-19,Smartphone,370.79,Ohio,Price-Sensitive
Olivia,Miller,2021-02-19,Tablet,391.68,New York,Frequent Buyer
Daniel,Smith,2021-02-19,Smartwatch,513.1,New York,Price-Sensitive
James,Jones,2021-02-19,Laptop,563.74,New York,Price-Sensitive
Olivia,Jones,2021-02-19,Smartphone,1323.86,Michigan,Premium Buyer
Emily,Williams,2021-02-19,Smartphone,1058.4,Florida,Frequent Buyer
Daniel,Smith,2021-02-19,Laptop,1177.91,New York,Price-Sensitive
Sophia,Wilson,2021-02-19,Smartphone,535.53,California,Occasional Buyer
Daniel,Martinez,2021-02-19,Smartwatch,326.44,Michigan,Price-Sensitive
Emily,Davis,2021-02-19,Smartphone,615.24,New York,Occasional Buyer
Sophia,Williams,2021-02-19,Tablet,719.93,New York,Frequent Buyer
Emma,Garcia,2021-02-20,Headphones,213.52,Georgia,Frequent Buyer
Emily,Brown,2021-02-20,Headphones,89.5,Illinois,Frequent Buyer
Emily,Martinez,2021-02-20,Laptop,1027.25,New York,Price-Sensitive
Emily,Williams,2021-02-20,,978.12,Florida,Frequent Buyer
Sophia,Miller,2021-02-20,,804.71,,Premium Buyer
Emily,Smith,2021-02-20,Headphones,86.27,Illinois,Price-Sensitive
Sophia,Davis,2021-02-20,Smartwatch,636.77,California,Frequent Buyer
John,Williams,2021-02-20,Headphones,62.99,California,Occasional Buyer
John,Smith,2021-02-21,Headphones,,Ohio,Price-Sensitive
Sophia,Jones,2021-02-21,Tablet,742.45,California,Frequent Buyer
John,Miller,2021-02-21,Laptop,869.26,Florida,Price-Sensitive
Sophia,Wilson,2021-02-21,Headphones,66.42,Texas,Premium Buyer
Daniel,Smith,2021-02-21,Laptop,1457.36,New York,Frequent Buyer
Emma,Martinez,2021-02-21,Smartwatch,447.11,Illinois,Frequent Buyer
Michael,Wilson,2021-02-21,Tablet,475.47,California,Occasional Buyer
Sarah,Brown,2021-02-22,Tablet,860.07,New York,Frequent Buyer
Daniel,Martinez,2021-02-22,Tablet,299.99,Florida,Price-Sensitive
Sarah,Brown,2021-02-22,Headphones,110.47,New York,Frequent Buyer
Daniel,Smith,2021-02-22,Laptop,942.71,New York,Frequent Buyer
Michael,Davis,2021-02-23,Headphones,333.3,Georgia,Premium Buyer
Michael,Williams,2021-02-23,Laptop,1660.58,Illinois,Premium Buyer
Emily,Wilson,2021-02-23,Laptop,807.26,Illinois,Occasional Buyer
Olivia,Miller,2021-02-23,Tablet,931.8,New York,Frequent Buyer
Emily,Smith,2021-02-23,,,Ohio,Frequent Buyer
Emma,Garcia,2021-02-23,Smartphone,823.14,Georgia,Frequent Buyer
James,Miller,2021-02-23,Smartwatch,388.41,Illinois,Frequent Buyer
Emily,Smith,2021-02-23,Smartphone,604.61,Ohio,Frequent Buyer
Emily,Williams,2021-02-24,Tablet,480.15,Florida,Price-Sensitive
Olivia,Miller,2021-02-24,Smartwatch,410.94,New York,Frequent Buyer
Daniel,Martinez,2021-02-24,,148.13,,Price-Sensitive
Emily,Wilson,2021-02-24,Tablet,564.65,Texas,Price-Sensitive
Emily,Martinez,2021-02-24,Laptop,726.0,New York,Price-Sensitive
Emily,Williams,2021-02-24,Smartwatch,,,Frequent Buyer
Emily,Miller,2021-02-25,Smartwatch,172.09,Michigan,Price-Sensitive
John,Martinez,2021-02-25,Smartwatch,520.75,California,Occasional Buyer
Olivia,Martinez,2021-02-25,Laptop,,Illinois,
Sarah,Jones,2021-02-25,,279.98,Texas,Frequent Buyer
James,Miller,2021-02-25,Laptop,1681.57,Illinois,Frequent Buyer
Sarah,Brown,2021-02-25,Smartwatch,293.9,Texas,Premium Buyer
John,Johnson,2021-02-25,Smartwatch,362.57,Texas,Price-Sensitive
Sarah,Williams,2021-02-26,Tablet,511.86,New York,Occasional Buyer
Daniel,Williams,2021-02-26,Smartphone,939.28,Michigan,Price-Sensitive
Emma,Martinez,2021-02-26,Laptop,1096.93,Illinois,Frequent Buyer
Daniel,Williams,2021-02-26,Headphones,69.43,Illinois,Premium Buyer
John,Smith,2021-02-26,Smartphone,653.03,Georgia,Price-Sensitive
Daniel,Williams,2021-02-26,Smartwatch,287.47,Michigan,Price-Sensitive
Olivia,Jones,2021-02-26,Smartwatch,549.93,Michigan,Premium Buyer
James,Davis,2021-02-26,Headphones,154.43,Georgia,Frequent Buyer
Michael,Davis,2021-02-26,Headphones,130.3,Georgia,Premium Buyer
Michael,Davis,2021-02-26,Tablet,808.49,Georgia,Premium Buyer
David,Williams,2021-02-26,Laptop,1174.85,California,Price-Sensitive
Sophia,Jones,2021-02-27,Laptop,,California,
Daniel,Smith,2021-02-27,Smartwatch,306.72,New York,Price-Sensitive
Emily,Williams,2021-02-27,Laptop,1309.34,Florida,Price-Sensitive
John,Martinez,2021-02-27,Laptop,1197.24,Florida,Price-Sensitive
John,Smith,2021-02-27,Laptop,1124.77,Georgia,Price-Sensitive
Daniel,Smith,2021-02-27,Laptop,1051.64,New York,Frequent Buyer
Sarah,Williams,2021-02-27,Headphones,242.51,California,Price-Sensitive
Daniel,Martinez,2021-02-27,Headphones,54.04,Michigan,Price-Sensitive
John,Smith,2021-02-27,Headphones,228.57,Ohio,Price-Sensitive
Sophia,Williams,2021-02-28,Tablet,626.19,New York,Frequent Buyer
James,Davis,2021-02-28,Laptop,1574.18,Georgia,Frequent Buyer
Sophia,Williams,2021-02-28,Smartwatch,237.15,New York,Frequent Buyer
Daniel,Brown,2021-02-28,Smartphone,450.2,New York,Occasional Buyer
Michael,Wilson,2021-02-28,Tablet,673.95,California,Occasional Buyer
Sophia,Williams,2021-02-28,Smartphone,995.58,New York,Frequent Buyer
Daniel,Brown,2021-02-28,Tablet,749.99,New York,Occasional Buyer
John,Smith,2021-02-28,Smartphone,695.49,Ohio,Price-Sensitive
Michael,Smith,2021-02-28,Smartwatch,460.37,Illinois,Occasional Buyer
Michael,Williams,2021-02-28,Smartphone,1162.07,Illinois,Premium Buyer
James,Johnson,2021-02-28,Tablet,972.42,Florida,Frequent Buyer
Sarah,Jones,2021-02-28,Laptop,905.92,Texas,Frequent Buyer
Sophia,Jones,2021-02-28,Headphones,63.76,California,Frequent Buyer
James,Smith,2021-03-01,Laptop,829.72,Georgia,Price-Sensitive
Emily,Martinez,2021-03-01,Laptop,,New York,Price-Sensitive
James,Smith,2021-03-01,Smartwatch,194.89,Georgia,Price-Sensitive
Michael,Williams,2021-03-01,Headphones,131.93,Illinois,Price-Sensitive
Emma,Johnson,2021-03-01,,343.21,Illinois,Premium Buyer
James,Martinez,2021-03-01,Tablet,551.0,Georgia,Occasional Buyer
John,Martinez,2021-03-02,Smartphone,572.71,Florida,Price-Sensitive
Sarah,Brown,2021-03-02,Laptop,831.74,New York,Frequent Buyer
Sophia,Miller,2021-03-02,Smartphone,690.82,Florida,Premium Buyer
Sophia,Miller,2021-03-02,Laptop,2396.97,Florida,Premium Buyer
Emily,Davis,2021-03-02,Smartwatch,755.21,Illinois,Premium Buyer
